user_id,book_id,is_read,rating,is_reviewed
173,1002,1,3,0
191,25500,0,0,0
30,8397,1,2,1
177,1574,1,2,0
213,56357,1,4,0
176,48614,0,0,0
199,51493,0,0,0
194,50827,0,0,0
142,1011,1,3,0
121,24171,0,0,0
54,7001,0,0,0
99,27711,1,3,1
109,29138,1,5,0
22,14768,0,0,0
30,16729,1,4,1
211,55999,0,0,0
0,799,1,4,1
4,1516,1,2,0
145,294,1,0,0
161,43718,0,0,0
150,42017,1,4,1
5,6374,1,4,0
191,50111,1,0,0
29,5864,1,3,0
97,26939,0,0,0
17,1262,0,0,0
211,40943,0,0,0
219,7937,0,0,0
211,48818,0,0,0
65,941,1,4,0
187,49901,0,0,0
200,51719,0,0,0
22,14645,0,0,0
86,24821,1,4,0
20,14112,1,3,0
62,1524,0,0,0
161,43164,1,3,0
14,10940,0,0,0
220,57817,1,3,0
20,662,0,0,0
30,17222,0,0,0
211,55375,0,0,0
97,3962,0,0,0
70,22546,1,4,0
42,19756,0,0,0
187,49814,1,4,0
124,34023,0,0,0
172,48098,1,4,0
5,4158,0,0,0
200,51638,1,0,0
83,24258,1,2,0
14,10125,0,0,0
82,6717,1,5,0
162,45682,1,5,0
131,35722,1,3,0
97,1000,1,4,0
216,7333,0,0,0
169,24174,1,5,0
225,35987,1,4,0
0,373,0,0,0
200,51856,0,0,0
142,39877,1,4,1
72,6054,0,0,0
194,50249,0,0,0
85,23281,0,0,1
186,23723,0,0,0
139,14559,0,0,0
112,6663,0,0,0
59,1434,1,4,0
200,12845,0,0,0
0,370,0,0,0
67,22081,0,0,0
147,41758,1,5,0
16,13166,1,4,0
26,1096,1,4,0
77,23279,1,4,0
120,21662,0,0,0
159,42869,0,0,0
226,58895,1,4,0
78,7169,0,0,0
78,7099,0,0,0
145,41059,0,0,0
5,4592,0,0,0
161,43774,0,0,0
205,52594,1,3,0
226,58746,1,3,1
129,1050,1,4,0
207,52914,0,0,0
151,42076,1,5,1
66,7322,0,0,0
119,32294,0,0,0
134,25957,0,0,0
20,624,1,4,0
30,17114,1,3,0
211,53856,0,0,0
211,53814,0,0,0
194,50698,0,0,0
133,994,0,0,0
66,7048,1,4,0
164,46416,1,5,1
124,33349,1,0,0
211,42461,1,0,0
195,939,1,4,0
153,5130,0,0,0
138,933,1,4,0
109,29219,1,5,0
94,26430,1,5,0
14,8476,0,0,0
216,14790,0,0,0
211,55187,0,0,0
194,50763,0,0,0
219,35655,1,0,0
211,55508,0,0,0
132,20898,0,0,0
169,47655,1,5,0
157,51,1,5,1
153,12385,0,0,0
58,1002,1,5,0
98,27671,0,0,0
205,6638,1,0,0
195,51107,1,4,1
91,995,1,2,1
211,53999,0,0,0
145,36008,1,2,1
200,4767,0,0,0
97,4549,0,0,0
186,49641,1,5,1
69,22427,1,5,0
18,1012,1,5,0
91,25965,1,3,0
117,30367,1,4,1
198,2584,0,0,0
97,6817,0,0,0
95,26476,0,0,0
210,53045,0,0,0
50,1256,1,5,0
161,45054,1,3,0
225,14799,0,0,0
219,57355,0,0,0
5,3866,0,0,0
5,3663,0,0,0
20,13190,1,2,0
111,29442,0,0,0
14,9498,0,0,0
78,12591,0,0,0
214,56480,1,5,0
5,3565,0,0,0
124,32938,0,0,0
145,41510,0,0,0
9,7451,1,4,0
195,50969,0,0,0
211,54911,0,0,0
97,26662,1,3,0
0,82,0,0,0
225,50626,1,3,0
195,50934,0,0,0
14,8487,0,0,0
190,50072,0,0,0
67,18171,0,0,0
14,8611,0,0,0
97,27151,0,0,0
160,757,1,5,1
185,49263,1,0,0
40,2352,0,0,0
36,15488,1,0,0
223,19517,0,0,0
36,2589,1,4,0
5,5648,0,0,0
98,27626,0,0,0
119,512,1,0,0
34,17876,0,0,0
31,17244,1,4,0
205,52689,1,5,0
211,8199,1,2,0
66,2015,0,0,0
211,53410,0,0,0
161,44382,0,0,0
148,31299,1,0,0
124,34602,0,0,0
50,20215,0,0,0
120,32440,1,3,0
103,15937,1,3,0
65,21305,1,4,0
133,19573,0,0,0
